"","x"
"306","Bcas3"
"307","L1Md-Tf29"
"308","Mlh1"
"309","Nol8"
"310","Clpp"
"311","Xylt1"
"312","9930004E17Rik"
"313","Cyp11a1"
"314","Cypxia1"
"315","P450scc"
"316","Scc"
"317","Gm21798"
"318","Gm19463"
"319","Tm7sf3"
"320","Btbd35f18"
"321","Gm14345"
"322","Abcg5"
"323","Rorb"
"324","Dpysl4"
"325","Trmt2a"
"326","Tuba4a"
"327","Ppt2"
"328","Uox"
"329","Vps13a"
"330","Aspg"
"331","Ssbp3"
"332","Exosc10"
"333","ND2"
"334","Gak"
"335","Gm15448"
"336","Mgat4b"
"337","Pabpc4"
"338","Kng2"
"339","Shmt1"
"340","Fbxw5"
"341","9330188P03Rik"
"342","Spata17"
"343","Pam"
"344","Ifnar2"
"345","Frmd5"
"346","P4ha2"
"347","Zfp384"
"348","Axin2"
"349","Gm15155"
"350","1300017J02Rik"
"351","Cobl"
"352","Snhg4"
"353","Gm28285"
"354","Adgrg5"
"355","Sgip1"
"356","Atf5"
"357","Als2cl"
"358","Col9a1"
"359","Homer1"
"360","Flg2"
"361","FLG2"
"362","Fam149a"
"363","Gm10183"
"364","Ndufa6"
"365","Cep192"
"366","Olfr1341"
"367","Acly"
"368","Ddrgk1"
"369","Ifit1"
"370","Cx3cr1"
"371","Ccnd1"
"372","Rpl3"
"373","6430550D23Rik"
"374","Tsr2"
"375","Ttyh3"
"376","Tm6sf1"
"377","Oxct2a"
"378","TISP10"
"379","Ms4a4b"
"380","Ptpn23"
"381","Nbas"
"382","Gsap"
"383","Arhgef9"
"384","Creg2"
"385","Ifrd1"
"386","Anks6"
"387","5830477G23Rik"
"388","Sptlc2"
"389","Smox"
"390","Pik3cg"
"391","ESTM25"
"392","Exd2"
"393","Exdl2"
"394","Mbd4"
"395","Lrrc74b"
"396","4930451C15Rik"
"397","Xlr4b"
"398","Xlr4"
"399","Polb"
"400","Trav6-4"
"401","Obox4"
"402","Mrps27"
"403","Sp1"
"404","Fbxo3"
"405","Rab11a"
"406","Odf3b"
"407","Rock2"
"408","Ssbp3"
"409","Atxn2l"
"410","Prrg1"
"411","Nop56"
"412","Vwa5b2"
"413","Mlx"
"414","Tinf2"
"415","D6Ertd527e"
"416","Cnot6l"
"417","Cntnap5b"
"418","Kmt2b"
"419","Wbp7"
"420","Nrk"
"421","Mtx3"
"422","Kirrel2"
"423","Abhd4"
"424","Rpgrip1l"
"425","Tgm4"
"426","Kctd9"
"427","Mob3c"
"428","Gpr65"
"429","Eif1"
"430","Slc14a2"
"431","Rnaseh2b"
"432","Wiz"
"433","Ahsa1"
"434","Tmem237"
"435","Adra1b"
"436","[a]1b"
"437","Tmem184b"
"438","Opa1"
"439","Cdh10"
"440","Hbs1l"
"441","Nepro"
"442","BC027231"
"443","Huwe1"
"444","Fkbp5"
"445","Mrps23"
"446","Sgsm3"
"447","Cog6"
"448","Ufsp2"
"449","Ercc6l2"
"450","0610007P08Rik"
"451","RORa4"
"452","Proca1"
"453","Igkv8-19"
"454","PGC-1"
"455","Prpf4b"
"456","Fut2"
"457","Dmtn"
"458","Il2rb"
"459","Dek"
"460","Per1"
"461","Eya2"
